par_interacao
Fusarium solani | hasHost | Atta texana
Acari | hasHost | Atta texana
Marginura attaae | interactsWith | Atta texana
Trichodectes unidentifiable | interactsWith | Atta texana
Glyptholaspis | interactsWith | Atta texana
Histiostoma bakeri | interactsWith | Atta texana
Prodinychus plaumanni | interactsWith | Atta texana
Blattodea | parasiteOf | Atta texana
Attaphila fungicola | interactsWith | Atta texana
Myrmicinosporidium durum | pathogenOf | Leptothorax affinis
Myrmicinosporidium durum | pathogenOf | Leptothorax tuberum tuberum
Myrmicinosporidium durum | pathogenOf | Leptothorax racovitzai
Myrmicinosporidium durum | pathogenOf | Pheidole pallidula
Cirsium arvense | interactsWith | Tetramorium
Carya | interactsWith | Tetramorium
ex. rotted log | hostOf | Tetramorium
Oecobius navus | preysOn | Tetramorium
Myrmeleon formicarius | preysOn | Tetramorium
Dendroleon pantherinus | preysOn | Tetramorium
Creoleon lugdunensis | preysOn | Tetramorium
Euroleon nostras | preysOn | Tetramorium
Myrmeleon hyalinus | preysOn | Tetramorium
Gymnocnemia variegata | preysOn | Tetramorium
Myrmeleon bore | preysOn | Tetramorium
Macronemurus appendiculatus | preysOn | Tetramorium
Megistopus flavicornis | preysOn | Tetramorium
Acanthaclisis occitanica | preysOn | Tetramorium
Distoleon tetragrammicus | preysOn | Tetramorium
Zodarion rubidum | preysOn | Tetramorium
Zodarion italicum | preysOn | Tetramorium
Pipistrellus nathusii | preysOn | Tetramorium
Emys orbicularis | preysOn | Tetramorium
Atelura formicaria | parasiteOf | Tetramorium
Ursus arctos | preysOn | Tetramorium
Myotis alcathoe | preysOn | Tetramorium
Nyctalus noctula | preysOn | Tetramorium
Euscorpius italicus | preysOn | Tetramorium
Cylindera germanica | preysOn | Tetramorium
Asagena phalerata | preysOn | Tetramorium
Euryopis flavomaculata | preysOn | Tetramorium
Dolomedes | preysOn | Tetramorium
Pardosa | preysOn | Tetramorium
Ozyptila | preysOn | Tetramorium
Robertus | preysOn | Tetramorium
Delphacidae | preyedUponBy | Tetramorium
Zelotes | preyedUponBy | Tetramorium
Neon valentulus | preyedUponBy | Tetramorium
Hebridae | preyedUponBy | Tetramorium
Thomisidae | preyedUponBy | Tetramorium
Platystethus nodifrons | preyedUponBy | Tetramorium
Psychodidae | preyedUponBy | Tetramorium
Euaesthetus ruficapillus | preyedUponBy | Tetramorium
Pentatomidae | preyedUponBy | Tetramorium
Oxyloma elegans | preyedUponBy | Tetramorium
Blattodea | preyedUponBy | Tetramorium
Pirata tenuitarsis | preyedUponBy | Tetramorium
Euconulus | preyedUponBy | Tetramorium
Zora | preyedUponBy | Tetramorium
Lycosidae | preyedUponBy | Tetramorium
Hebrus ruficeps | preyedUponBy | Tetramorium
Helicidae | preyedUponBy | Tetramorium
Gnaphosidae | preyedUponBy | Tetramorium
Cicadellidae | preyedUponBy | Tetramorium
Edaphus | preyedUponBy | Tetramorium
Rugilus rufipes | preyedUponBy | Tetramorium
Zora spinimana | preyedUponBy | Tetramorium
Carpelimus manchuricus | preyedUponBy | Tetramorium
Theridiidae | preysOn | Tetramorium
Valvata | preyedUponBy | Tetramorium
Erichsonius cinerascens | preyedUponBy | Tetramorium
Propylaea quatuordecimpunctata | preyedUponBy | Tetramorium
Anotylus | preyedUponBy | Tetramorium
Bembidion assimile | preyedUponBy | Tetramorium
Vertigo antivertigo | preyedUponBy | Tetramorium
Theridion | preysOn | Tetramorium
Chartoscirta cincta | preyedUponBy | Tetramorium
Acupalpus flavicollis | preyedUponBy | Tetramorium
Vallonia pulchella | preyedUponBy | Tetramorium
Stenus | preyedUponBy | Tetramorium
Pirata | preyedUponBy | Tetramorium
Staphylinidae | preysOn | Tetramorium
Vertigo moulinsiana | preyedUponBy | Tetramorium
Xysticus | preyedUponBy | Tetramorium
Hebrus pusillus | preyedUponBy | Tetramorium
Myllaena minuta | preyedUponBy | Tetramorium
Myllaena dubia | preyedUponBy | Tetramorium
Liocranidae | preyedUponBy | Tetramorium
Vertigo pygmaea | preyedUponBy | Tetramorium
Ozyptila | preyedUponBy | Tetramorium
Lesteva sicula | preyedUponBy | Tetramorium
Acanthinula aculeata | preyedUponBy | Tetramorium
Trochosa | preysOn | Tetramorium
Xysticus | preysOn | Tetramorium
Bubulcus ibis | preysOn | Tetramorium
Synema globosum | preysOn | Tetramorium
Hercostomus assimilis | preysOn | Tetramorium
Paederus riparius | preysOn | Tetramorium
Micrommata virescens | preysOn | Tetramorium
Locustella naevia | preysOn | Tetramorium
Trochosa spinipalpis | preysOn | Tetramorium
Pisaura mirabilis | preysOn | Tetramorium
Emberiza schoeniclus | preysOn | Tetramorium
Robertus insignis | preysOn | Tetramorium
Clubiona phragmitis | preysOn | Tetramorium
Perdix perdix | preysOn | Tetramorium
Pipistrellus pygmaeus | preysOn | Tetramorium
Salticus scenicus | preysOn | Tetramorium
Pipistrellus pipistrellus | preysOn | Tetramorium
Carrhotus xanthogramma | preysOn | Tetramorium
Jynx torquilla | preysOn | Tetramorium
Tadarida teniotis | preysOn | Tetramorium
Hypsugo savii | preysOn | Tetramorium
Rhinolophus hipposideros | preysOn | Tetramorium
Philaeus chrysops | preysOn | Tetramorium
Pipistrellus kuhlii | preysOn | Tetramorium
Rhynocoris annulatus | preysOn | Tetramorium
Passer domesticus | preysOn | Tetramorium
Miniopterus schreibersii | preysOn | Tetramorium
Rhinolophus ferrumequinum | preysOn | Tetramorium
Larus canus | preysOn | Tetramorium
Vincetoxicum rossicum | pollinatedBy | Tetramorium
Gabrius fermoralis (Hochh.) | preysOn | Tetramorium
Ligidium hypnorum | preyedUponBy | Tetramorium
Lathrobium fovalum (Steph.) | preysOn | Tetramorium
Anacaena limbata | preyedUponBy | Tetramorium
Cicadina | preyedUponBy | Tetramorium
Pelochares versicolor | preyedUponBy | Tetramorium
Euconulus alderi | preyedUponBy | Tetramorium
Opilionida | preyedUponBy | Tetramorium
Fulgoroidea | preyedUponBy | Tetramorium
Edaphus bl�hweissi (Scheerp.) | preyedUponBy | Tetramorium
Brachygluta | preyedUponBy | Tetramorium
"Dolichopus nubilius Meigen, 1924 | preysOn | Tetramorium"
Tetartopeus terminatus | preysOn | Tetramorium
Trichoniscidae | preyedUponBy | Tetramorium
Heteroptera | preyedUponBy | Tetramorium
Carpelimus corticinus | preyedUponBy | Tetramorium
Aphidoidea | preyedUponBy | Tetramorium
Comantenna | preyedUponBy | Tetramorium
Anisus leucostoma | preyedUponBy | Tetramorium
Cicadoidea | preyedUponBy | Tetramorium
Aleocharinae | preyedUponBy | Tetramorium
Chaetarthria seminulum | preyedUponBy | Tetramorium
Porcellionidae | preyedUponBy | Tetramorium
Typhlocybini | preyedUponBy | Tetramorium
Spanioconnus wetterhali (Gyll.) | preyedUponBy | Tetramorium
Nestus mendicus (Er.) | preyedUponBy | Tetramorium
Euconnus hirticollis | preyedUponBy | Tetramorium
Hemistenus flavipes (Steph.) | preyedUponBy | Tetramorium
Gabrius fermoralis | preysOn | Tetramorium
Dolichopus nubilius | preysOn | Tetramorium
Lathrobium fovalum | preysOn | Tetramorium
Hemistenus flavipes | preyedUponBy | Tetramorium
Nestus mendicus | preyedUponBy | Tetramorium
Spanioconnus wetterhali | preyedUponBy | Tetramorium
Strongylognathus testaceus | parasiteOf | Tetramorium
Halictus aerarius | preyedUponBy | Tetramorium
Bubulcus ibis | eats | Tetramorium
Tettigometra atra | symbiontOf | Tetramorium
Orasema polymyrmex | hasParasitoid | Tetramorium
Myotis capaccinii | eats | Tetramorium
Callilepis | preysOn | Tetramorium
Callilepis schuszteri | preysOn | Tetramorium
Nomisia | preysOn | Tetramorium
Callilepis nocturna | preysOn | Tetramorium
Trichobius | preyedUponBy | Tetramorium
Diptera | preyedUponBy | Tetramorium
Mangifera indica | pollinatedBy | Tetramorium
Raillietina echinobothrida | parasiteOf | Tetramorium
Raillietina | parasiteOf | Tetramorium
Juniperus | hostOf | Pheidole
ex. cotton | hostOf | Pheidole
Beylose | interactsWith | Pheidole
pine bases | interactsWith | Pheidole
Musa acuminata | interactsWith | Pheidole
Musa acumin | interactsWith | Pheidole
Pterocarpus | interactsWith | Pheidole
Pterocarpus | hostOf | Pheidole
Musa paradiasiaca | interactsWith | Pheidole
Ficus | interactsWith | Pheidole
Musca domestica | preyedUponBy | Pheidole
Bufonidae | preyedUponBy | Pheidole
Diptera | preyedUponBy | Pheidole
Periplaneta americana | preyedUponBy | Pheidole
Bubulcus ibis | preysOn | Pheidole
Pheidoliphila minuta | interactsWith | Pheidole
Pheidoliphila granulata | interactsWith | Pheidole
Pheidoliphila carbo | interactsWith | Pheidole
Orasema assectator | parasiteOf | Pheidole
Orasema valgius | parasiteOf | Pheidole
Orasema | parasiteOf | Pheidole
Orasema susanae | parasiteOf | Pheidole
Orasema minuta | parasiteOf | Pheidole
Orasemorpha myrmicae | parasiteOf | Pheidole
Orasemorpha eribotes | parasiteOf | Pheidole
Orasema tolteca | parasiteOf | Pheidole
Holcencyrtus wheeleri | parasiteOf | Pheidole
Myotis nigricans | preysOn | Pheidole
litter/soil at base of palm tree | interactsWith | Pheidole
ex log | hostOf | Pheidole
ex rotten log | hostOf | Pheidole
ex rotten stump | hostOf | Pheidole
Wheat field | interactsWith | Pheidole
Pheidole dentata | interactsWith | Pheidole
Pogonomyrmex rugosus | interactsWith | Pheidole
Monomorium | interactsWith | Pheidole
Pulchra | interactsWith | Pheidole
Odontomachus bauri | interactsWith | Pheidole
Pheidole bicarinata | interactsWith | Pheidole
Dorymyrmex smithi | interactsWith | Pheidole
Probolomyrmex brujitae | interactsWith | Pheidole
Pinaxister decipiens | parasiteOf | Pheidole
B. plinthopyga larvae | eatenBy | Pheidole
rabbit carcass (L. californicus) | eatenBy | Pheidole
Wiedemannia (Wiedemannia) | eatenBy | Pheidole
M. domestica larvae | eatenBy | Pheidole
Diptera | eatenBy | Pheidole
carrion | eatenBy | Pheidole
Myrsidea birmensis | eatenBy | Pheidole
O. ochripyga larvae | eatenBy | Pheidole
toad carrion | eatenBy | Pheidole
various larvae | eatenBy | Pheidole
Homalanthus novoguineensis | interactsWith | Pheidole
Merremia peltata | interactsWith | Pheidole
Abundance | interactsWith | Pheidole
Macaranga involucrata | interactsWith | Pheidole
Flagellaria indica | interactsWith | Pheidole
Commiphora guillaumin | hasVector | Pheidole
shiney juniper- broom weed grass | interactsWith | Pheidole
O. ochripyga larvae | preyedUponBy | Pheidole
B. plinthopyga larvae | preyedUponBy | Pheidole
M. domestica larvae | preyedUponBy | Pheidole
Wiedemannia (Wiedemannia) | preyedUponBy | Pheidole
Orasema polymyrmex | hasParasitoid | Pheidole
Orasema susanae | hasHost | Pheidole
Hayatosema assectator | hasHost | Pheidole
Orasema | hasHost | Pheidole
Orasema valgius | hasHost | Pheidole
Australosema pheidolophaga | hasHost | Pheidole
Orasemorpha eribotes | hasHost | Pheidole
Holcencyrtus wheeleri | interactsWith | Pheidole
Neivamyrmex nigrescens | eats | Pheidole
Zachrysia provisoria | eatenBy | Pheidole
Eucalymnatus tessellatus | interactsWith | Pheidole
Insignorthezia insignis | interactsWith | Pheidole
Semiotus serraticornis | preyedUponBy | Pheidole
Apis dorsata | preyedUponBy | Pheidole
Euborellia annulipes | eatenBy | Pheidole
Periplaneta americana | eatenBy | Pheidole
Pheidole | interactsWith | Pheidole
Menemerus bivittatus | preysOn | Pheidole
Corythalia conferta | preysOn | Pheidole
Spilopelia senegalensis senegalensis | eatenBy | Pheidole
Neotynelia pubescens | interactsWith | Pheidole
Myrmecophilus quadrispina | interactsWith | Pheidole
Apis cerana | preyedUponBy | Pheidole
Camponotus pressipes | interactsWith | Pheidole
Eciton hamatum | preysOn | Pheidole
Pactolinus major | preyedUponBy | Pheidole
Homo sapiens | interactsWith | Pheidole
Menemerus semilimbatus | preysOn | Pheidole
Steatoda triangulosa | preysOn | Pheidole
Eciton burchellii foreli | preysOn | Pheidole
Eciton vagans | preysOn | Pheidole
Neivamyrmex gibbatus | preysOn | Pheidole
Raillietina tetragona | hasHost | Pheidole
Bubulcus ibis | eats | Pheidole
Quiscalus niger | eats | Pheidole
Turdus plumbeus | eats | Pheidole
Rhododendron | pollinatedBy | Pheidole
Orasema minuta | hasHost | Pheidole
Orasema tolteca | hasHost | Pheidole
Myotis capaccinii | eats | Pheidole
Myotis daubentoni | eats | Pheidole
Raillietina | parasiteOf | Pheidole
Raillietina echinobothrida | parasiteOf | Pheidole
Sonneratia | interactsWith | Pheidole
Sonneratia alba | interactsWith | Pheidole
Platymeris | preyedUponBy | Pheidole
Myrmecophaga tridactyla | eats | Pheidole
Myrmecomyces annellisiae | hasHost | Solenopsis invicta
Candida | hasHost | Solenopsis invicta
Quercus stellata | interactsWith | Solenopsis invicta
Danaus plexippus | eatenBy | Solenopsis invicta
Scarabaeidae | preyedUponBy | Solenopsis invicta
Aphididae | interactsWith | Solenopsis invicta
Acer rubrum | visitedBy | Solenopsis invicta
Cryptotis parvus | eatenBy | Solenopsis invicta
Quercus phellos | visitedBy | Solenopsis invicta
Acari | hasHost | Solenopsis invicta
Pseudomonas aeruginosa | parasiteOf | Solenopsis invicta
Passiflora incarnata | interactsWith | Solenopsis invicta
Apalone mutica | interactsWith | Solenopsis invicta
Solenopsis invicta | interactsWith | Solenopsis invicta
Sigmodon hispidus | interactsWith | Solenopsis invicta
Chelydra serpentina | interactsWith | Solenopsis invicta
Sialia sialis | interactsWith | Solenopsis invicta
Colinus virginianus | interactsWith | Solenopsis invicta
Kneallhazia solenopsae | hasHost | Solenopsis invicta
Bacillus cereus | hasHost | Solenopsis invicta
Staphylococcus epidermidis | hasHost | Solenopsis invicta
Bacillus pumilus | hasHost | Solenopsis invicta
Bacillus subtilis | hasHost | Solenopsis invicta
Serratia marcescens | hasHost | Solenopsis invicta
Achromobacter xylosoxidans | hasHost | Solenopsis invicta
Pseudomonas aeruginosa | hasHost | Solenopsis invicta
Lactococcus garvieae | hasHost | Solenopsis invicta
Kluyvera cryocrescens | hasHost | Solenopsis invicta
Bacillus thuringiensis | hasHost | Solenopsis invicta
Staphylococcus hominis | hasHost | Solenopsis invicta
Nezara | eatenBy | Solenopsis invicta
Diaphania | eatenBy | Solenopsis invicta
Burenella dimorpha | pathogenOf | Solenopsis invicta
Vairimorpha invictae | pathogenOf | Solenopsis invicta
Thelohania | pathogenOf | Solenopsis invicta
Thelohania solenopsae | pathogenOf | Solenopsis invicta
Metarhizium anisopliae | pathogenOf | Solenopsis invicta
Beauveria bassiana | pathogenOf | Solenopsis invicta
Beauveria brongniartii | pathogenOf | Solenopsis invicta
Conidiobolus | pathogenOf | Solenopsis invicta
Meloidae | interactsWith | Solenopsis invicta
Anaxyrus terrestris | interactsWith | Solenopsis invicta
Geomys | interactsWith | Solenopsis invicta
Geomys | interactsWith | Hypoponera opacior
Dendroica | preysOn | Hypoponera opacior
Tyrannochelifer | preysOn | Hypoponera opacior
Sergiolus | preysOn | Hypoponera opacior
Melittobia chalybii | parasitoidOf | Hypoponera opacior
Hibana velox | preysOn | Hypoponera opacior
Pirata | preysOn | Hypoponera opacior
Agelaius phoeniceus | preysOn | Hypoponera opacior
Calliephialtes ferrugineus | parasitoidOf | Hypoponera opacior
Nephila clavipes | preysOn | Hypoponera opacior
Theridion | preysOn | Hypoponera opacior
Gnaphosa | preysOn | Hypoponera opacior
Casinaria grandis | parasitoidOf | Hypoponera opacior
Argyrodes nephilae | preysOn | Hypoponera opacior
Uloborus | preysOn | Hypoponera opacior
Metepeira labyrinthea | preysOn | Hypoponera opacior
Misumenops | preysOn | Hypoponera opacior
Argiope argentata | preysOn | Hypoponera opacior
Anyphaena | preysOn | Hypoponera opacior
Stoidis aurata | preysOn | Hypoponera opacior
Alachua floridensis | interactsWith | Camponotus floridanus
Myrmecophilus pergandei | interactsWith | Camponotus floridanus
Calliephialtes ferrugineus | parasitoidOf | Camponotus floridanus
Uloborus | preysOn | Camponotus floridanus
Casinaria grandis | parasitoidOf | Camponotus floridanus
Anyphaena | preysOn | Camponotus floridanus
Dendroica | preysOn | Camponotus floridanus
Metepeira labyrinthea | preysOn | Camponotus floridanus
Nephila clavipes | preysOn | Camponotus floridanus
Agelaius phoeniceus | preysOn | Camponotus floridanus
Stoidis aurata | preysOn | Camponotus floridanus
Tyrannochelifer | preysOn | Camponotus floridanus
Theridion | preysOn | Camponotus floridanus
Ceroplastes | preyedUponBy | Camponotus floridanus
Rhizophora mangle | eatenBy | Camponotus floridanus
Gnaphosa | preysOn | Camponotus floridanus
Misumenops | preysOn | Camponotus floridanus
Pirata | preysOn | Camponotus floridanus
Hibana velox | preysOn | Camponotus floridanus
Sergiolus | preysOn | Camponotus floridanus
Argyrodes nephilae | preysOn | Camponotus floridanus
Argiope argentata | preysOn | Camponotus floridanus
Melittobia chalybii | parasitoidOf | Camponotus floridanus
Ptilimnium capillaceum | interactsWith | Camponotus floridanus
Campylomormyrus tamandua | preysOn | Formicidae
Piabina argentea | preysOn | Formicidae
Eigenmannia virescens | preysOn | Formicidae
Psalidodon fasciatus | preysOn | Formicidae
Erythrinus erythrinus | preysOn | Formicidae
Anchoa mitchilli | preysOn | Formicidae
Archosargus probatocephalus | preysOn | Formicidae
Ictalurus punctatus | preysOn | Formicidae
Ariopsis felis | preysOn | Formicidae
Menidia beryllina | preysOn | Formicidae
Strongylura marina | preysOn | Formicidae
Cetopsorhamdia iheringi | preysOn | Formicidae
Characidium zebra | preysOn | Formicidae
Macquaria australasica | preysOn | Formicidae
Papyrocranus afer | preysOn | Formicidae
Bryconamericus stramineus | preysOn | Formicidae
Gobio lozanoi | preysOn | Formicidae
Oncorhynchus mykiss | preysOn | Formicidae
Atherinomorus vaigiensis | preysOn | Formicidae
Coregonus albula | preysOn | Formicidae
Chrysiptera glauca | preysOn | Formicidae
Hoplerythrinus unitaeniatus | preysOn | Formicidae
Synbranchus marmoratus | preysOn | Formicidae
Salvelinus malma | preysOn | Formicidae
Thymallus thymallus | preysOn | Formicidae
Oecobius navus | preysOn | Formicidae
Creoleon lugdunensis | preysOn | Formicidae
Macronemurus appendiculatus | preysOn | Formicidae
Dendroleon pantherinus | preysOn | Formicidae
Megistopus flavicornis | preysOn | Formicidae
Myrmeleon hyalinus | preysOn | Formicidae
Distoleon tetragrammicus | preysOn | Formicidae
Gymnocnemia variegata | preysOn | Formicidae
Myrmeleon formicarius | preysOn | Formicidae
Acanthaclisis occitanica | preysOn | Formicidae
Euroleon nostras | preysOn | Formicidae
Myrmeleon bore | preysOn | Formicidae
Vermileonidae | preysOn | Formicidae
Pipistrellus nathusii | preysOn | Formicidae
Tettigometra macrocephala | preysOn | Formicidae
Tettigometra atra | preysOn | Formicidae
Metroplaca longicornis | preysOn | Formicidae
Emys orbicularis | preysOn | Formicidae
Neomys fodiens | preysOn | Formicidae
Myotis alcathoe | preysOn | Formicidae
Ursus arctos | preysOn | Formicidae
Nyctalus noctula | preysOn | Formicidae
Euscorpius italicus | preysOn | Formicidae
Bufonidae | preyedUponBy | Formicidae
Misumena vatia | preyedUponBy | Formicidae
Lymantria dispar | preyedUponBy | Formicidae
Cynthia cardui | preyedUponBy | Formicidae
Hirundo rustica | preyedUponBy | Formicidae
Ceratitis capitata | preyedUponBy | Formicidae
Sterna hirundo | preyedUponBy | Formicidae
Clytra laeviuscula | preysOn | Formicidae
Cylindera germanica | preysOn | Formicidae
Cinclus cinclus | preysOn | Formicidae
Doros profuges | preysOn | Formicidae
Pella limbata | preysOn | Formicidae
Pipizella viduata | preysOn | Formicidae
Chrysotoxum octomaculatum | preysOn | Formicidae
Chrysotoxum arcuatum | preysOn | Formicidae
Alydus calcaratus | preysOn | Formicidae
Tettigometra impressopunctata | preysOn | Formicidae
Systellonotus triguttatus | preysOn | Formicidae
Asagena phalerata | preysOn | Formicidae
Euryopis flavomaculata | preysOn | Formicidae
Zodarion italicum | preysOn | Formicidae
Zodarion rubidum | preysOn | Formicidae
Chrysotoxum | preysOn | Formicidae
Charadrius vociferus | preysOn | Formicidae
Chilopoda | preysOn | Formicidae
Heracleum sphondylium | pollinatedBy | Formicidae
Polyommatus icarus | preyedUponBy | Formicidae
Eremophila alpestris | preysOn | Formicidae
Acari | hasParasite | Formicidae
Lobularia maritima | pollinatedBy | Formicidae
Vespula germanica | preyedUponBy | Formicidae
Ranunculus repens | pollinatedBy | Formicidae
Dryobates | preysOn | Formicidae
Eptesicus | preysOn | Formicidae
Cuculus canorus | preyedUponBy | Formicidae
Salix cinerea | pollinatedBy | Formicidae
Euphorbia virgata | pollinatedBy | Formicidae
Acheta domestica | preyedUponBy | Formicidae
Acer pseudoplatanus | eatenBy | Formicidae
Periplaneta americana | preyedUponBy | Formicidae
Viburnum plicatum | pollinatedBy | Formicidae
Microdon analis | preysOn | Formicidae
Oecobius | preysOn | Formicidae
Orthoptera | preysOn | Formicidae
Numenius | preysOn | Formicidae
Notonecta | preysOn | Formicidae
Picoides | preysOn | Formicidae
Plegadis falcinellus | preysOn | Formicidae
Regulus | preysOn | Formicidae
Tadarida | preysOn | Formicidae
Xysticus | preysOn | Formicidae
Arenaria interpres | preysOn | Formicidae
Ardea alba | preysOn | Formicidae
Carrhotus xanthogramma | preysOn | Formicidae
Bubulcus ibis | preysOn | Formicidae
Jynx torquilla | preysOn | Formicidae
Larus canus | preysOn | Formicidae
Hypsugo savii | preysOn | Formicidae
Pisaura mirabilis | preysOn | Formicidae
Pipistrellus pygmaeus | preysOn | Formicidae
Miniopterus schreibersii | preysOn | Formicidae
Podiceps auritus | preysOn | Formicidae
Salticus scenicus | preysOn | Formicidae
Perdix perdix | preysOn | Formicidae
Rhinolophus ferrumequinum | preysOn | Formicidae
Philaeus chrysops | preysOn | Formicidae
Rhinolophus hipposideros | preysOn | Formicidae
Pipistrellus pipistrellus | preysOn | Formicidae
Pipistrellus kuhlii | preysOn | Formicidae
Podiceps nigricollis | preysOn | Formicidae
Passer domesticus | preysOn | Formicidae
Rhynocoris annulatus | preysOn | Formicidae
Tadarida teniotis | preysOn | Formicidae
Beauveria amorpha | interactsWith | Formicidae
Ophiocordyceps myrmecophila | hasHost | Formicidae
Berteroa incana | eatenBy | Formicidae
Daucus carota | eatenBy | Formicidae
Aralia nudicaulis | eatenBy | Formicidae
Centaurea stoebe | eatenBy | Formicidae
Taraxacum officinale | eatenBy | Formicidae
Caltha palustris | eatenBy | Formicidae
Archilochus colubris | eatenBy | Formicidae
Perimyotis subflavus | eats | Formicidae
Eptesicus fuscus | eats | Formicidae
Lasionycteris noctivagans | eats | Formicidae
Aeorestes cinereus | eats | Formicidae
Lasiurus borealis | eats | Formicidae
Myotis | eats | Formicidae
Apis mellifera | eatenBy | Formicidae
Halictus confusus | eatenBy | Formicidae
Platycryptus undatus | eats | Formicidae
Pelegrina proterva | eats | Formicidae
Enoplognatha ovata | eats | Formicidae
Mangora gibberosa | eatenBy | Formicidae
Arctosa littoralis | eats | Formicidae
Naphrys pulex | eats | Formicidae
Misumena vatia | eatenBy | Formicidae
Argia fumipennis | eats | Formicidae
Leucorrhinia hudsonica | eats | Formicidae
Nymphalis antiopa | eatenBy | Formicidae
Lymantria dispar | eatenBy | Formicidae
Mythimna unipuncta | eatenBy | Formicidae
Cynthia cardui | eatenBy | Formicidae
Cydia pomonella | eatenBy | Formicidae
Cicindela sexguttata | eatenBy | Formicidae
Cicindela sexguttata | eats | Formicidae
Cicindela | eatenBy | Formicidae
Cicindela repanda | eats | Formicidae
Cicindela scutellaris | eatenBy | Formicidae
Cicindela scutellaris | eats | Formicidae
Helocassis clavata | eatenBy | Formicidae
Corvus corax | eats | Formicidae
Dryobates pubescens | eats | Formicidae
Antrostomus vociferus | eats | Formicidae
Catharus minimus | eats | Formicidae
Colaptes auratus | eats | Formicidae
Cardinalis cardinalis | eats | Formicidae
Acanthis flammea | eats | Formicidae
Chordeiles minor | eats | Formicidae
Haemorhous purpureus | eats | Formicidae
Bartramia longicauda | eats | Formicidae
Catharus ustulatus | eats | Formicidae
Anthus rubescens | eats | Formicidae
Certhia americana | eats | Formicidae
Hirundo rustica | eats | Formicidae
Lanius ludovicianus | eats | Formicidae
Melospiza georgiana | eats | Formicidae
Melanerpes carolinus | eats | Formicidae
Mniotilta varia | eats | Formicidae
Rallus limicola | eats | Formicidae
Phasianus colchicus | eats | Formicidae
Petrochelidon pyrrhonota | eats | Formicidae
Parkesia noveboracensis | eats | Formicidae
Mimus polyglottos | eats | Formicidae
Setophaga striata | eats | Formicidae
Regulus calendula | eats | Formicidae
Spizella pallida | eats | Formicidae
Progne subis | eats | Formicidae
Vermivora cyanoptera | eats | Formicidae
Sphyrapicus varius | eats | Formicidae
Sitta carolinensis | eats | Formicidae
Setophaga coronata | eats | Formicidae
Stelgidopteryx serripennis | eats | Formicidae
Sitta canadensis | eats | Formicidae
Leuconotopicus villosus | eats | Formicidae
Loxia leucoptera | eats | Formicidae
Tringa melanoleuca | eats | Formicidae
Setophaga discolor | eats | Formicidae
Setophaga castanea | eats | Formicidae
Setophaga pinus | eats | Formicidae
Troglodytes aedon | eats | Formicidae
Pinicola enucleator | eats | Formicidae
Sturnus vulgaris | eats | Formicidae
Ardea alba | eats | Formicidae
Spiza americana | eats | Formicidae
Empidonax traillii | eats | Formicidae
Ammodramus savannarum | eats | Formicidae
Parkesia motacilla | eats | Formicidae
Pseudacris crucifer | eats | Formicidae
Pipilo erythrophthalmus | eats | Formicidae
Junco hyemalis | eats | Formicidae
Bubo virginianus | eats | Formicidae
Empidonax virescens | eats | Formicidae
Corvus brachyrhynchos | eats | Formicidae
Plethodon cinereus | eats | Formicidae
Cardellina pusilla | eats | Formicidae
Hirundo rustica | eatenBy | Formicidae
Picoides | eats | Formicidae
Pseudacris triseriata | eats | Formicidae
Tachycineta bicolor | eats | Formicidae
Passerculus sandwichensis | eats | Formicidae
Vireo gilvus | eats | Formicidae
Zenaida macroura | eats | Formicidae
Empidonax minimus | eats | Formicidae
Sterna hirundo | eatenBy | Formicidae
Sitta canadensis | eatenBy | Formicidae
Ammospiza leconteii | eats | Formicidae
Bonasa umbellus | eats | Formicidae
Riparia riparia | eats | Formicidae
Geothlypis philadelphia | eats | Formicidae
Pheucticus ludovicianus | eats | Formicidae
Gallinago delicata | eats | Formicidae
Setophaga americana | eats | Formicidae
Setophaga ruticilla | eats | Formicidae
Hemidactylium scutatum | eats | Formicidae
Geothlypis trichas | eats | Formicidae
Setophaga caerulescens | eats | Formicidae
Piranga olivacea | eats | Formicidae
Phalaropus lobatus | eats | Formicidae
Vireo olivaceus | eats | Formicidae
Zonotrichia | eats | Formicidae
Vireo philadelphicus | eats | Formicidae
Chroicocephalus philadelphia | eats | Formicidae
Sialia sialis | eats | Formicidae
Contopus cooperi | eats | Formicidae
Scolopax minor | eats | Formicidae
Sayornis phoebe | eats | Formicidae
Leiothlypis celata | eats | Formicidae
Empidonax flaviventris | eats | Formicidae
Catharus fuscescens | eats | Formicidae
Hylocichla mustelina | eats | Formicidae
Lithobates palustris | eats | Formicidae
Catharus guttatus | eats | Formicidae
Toxostoma rufum | eats | Formicidae
Regulus | eats | Formicidae
Agelaius phoeniceus | eats | Formicidae
Vireo flavifrons | eats | Formicidae
Arenaria interpres | eats | Formicidae
Polioptila caerulea | eats | Formicidae
Bombycilla cedrorum | eats | Formicidae
Turdus migratorius | eats | Formicidae
Icterus galbula | eats | Formicidae
Dryocopus pileatus | eats | Formicidae
Setophaga tigrina | eats | Formicidae
Molothrus ater | eats | Formicidae
Chaetura pelagica | eats | Formicidae
Cistothorus palustris | eats | Formicidae
Sturnella magna | eats | Formicidae
Quiscalus quiscula | eats | Formicidae
Eremophila alpestris | eats | Formicidae
Seiurus aurocapilla | eats | Formicidae
Setophaga petechia | eats | Formicidae
Charadrius vociferus | eats | Formicidae
